"home_name","url","licensee","home_type","beds","additional_information","status","inspections"
"AFTON PARK PLACE LONG TERM CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2872","S & R Nursing Homes Ltd.","For-Profit",128,"","Open",71
"ALBRIGHT GARDENS HOMES, INCORPORATED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C501","Albright Gardens Homes, Incorporated","Non-Profit",231,"","Open",42
"ALEXANDER PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2861","Waterdown Long Term Care Centre Inc.","For-Profit",128,"","Open",24
"ALGOMA DISTRICT HOMES FOR THE AGED (ALGOMA MANOR)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M501","Board Of Management For The District Of Algoma","",108,"Home Closed on 11/01/2011","Closed",2
"ALGOMA MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3041","Algoma Manor Nursing Home","",96,"","Open",19
"ALGONQUIN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2647","Algonquin Nursing Home Of Mattawa","Non-Profit",73,"","Open",25
"ALLENDALE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M536","The Regional Municipality Of Halton","Municipal",200,"","Open",44
"ALMONTE COUNTRY HAVEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2692","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",82,"","Open",50
"ALTAMONT CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0956","Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.","For-Profit",159,"","Open",39
"ANSON PLACE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2786","Rykka Care Centres Lp","For-Profit",61,"","Open",20
"ARBOUR CREEK LONG-TERM CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2930","Rykka Care Centres Gp Inc.","For-Profit",129,"","Open",59
