"","date","year","headline"
"1",2020-10-01,2020,"Seth MacLean was one of nine fatal overdoses in Toronto shelters in July — during one of the system’s deadliest summers. His family wants changes made so it can’t happen again"
"2",2020-10-01,2020,"Memo reveals ‘shocking’ police misuse of COVID-19 database, say rights groups"
"3",2020-10-01,2020,"Relations between Canada and China are strained. So what happens if China gets a COVID-19 vaccine first?"
"4",2020-10-01,2020,"Indigenous woman who endured racist slurs as she lay dying prompts calls for action from Ottawa"
"5",2020-10-01,2020,"Did Trump display textbook signs of authoritarianism during the debate? Here’s what the experts say"
"6",2020-10-01,2020,"Will Donald Trump’s shout-out to the Proud Boys be a ‘call to action’ in Canada?"
"7",2020-10-01,2020,"Today’s coronavirus news: Some Ontario in-school vaccination programs moved to clinics; Partial lockdown measures begin in 3 Quebec regions; Nearly half of Peel students are learning online"
"8",2020-10-01,2020,"Canada has approved a 15-minute COVID test. But the lineups will still go on for hours"
"9",2020-10-01,2020,"Stuck in lockdown limbo? Here’s what to expect in the second wave"
"10",2020-10-01,2020,"Canada’s economy to take a hit from the second wave, economist says — and some sectors may never recover"
"11",2020-10-02,2020,"Trump shows ‘mild symptoms’ of COVID-19 after positive test for president, first lady"
"12",2020-10-02,2020,"Around the world reaction as Donald and Melania Trump test positive for COVID-19"
"13",2020-10-02,2020,"Fleeing Trump’s America for Canada? This New Yorker did it. Now he’s helping others follow"
"14",2020-10-02,2020,"Melania Trump takes aim at migrant children, critics in profane rant"
"15",2020-10-02,2020,"Ontario students with the sniffles no longer need a COVID test. Some experts warn this might be a big mistake"
"16",2020-10-02,2020,"Today’s coronavirus news: Ontario sets new record with 732 reported cases; Trump, first lady test positive for virus; Biden tests negative"
"17",2020-10-02,2020,"Ontario sets second record this week for COVID-19 cases with 732 new infections"
"18",2020-10-02,2020,"Under COVID-19, work-at-home has hollowed out Toronto’s core. Will it ever spring back to life?"
"19",2020-10-02,2020,"Toronto officials push province for new restrictions as rate of new COVID-19 infections soars to highest ever"
"20",2020-10-02,2020,"Ontario reports 30 more students with COVID-19 in latest daily report"
"21",2020-10-02,2020,"‘We’re inspired’: Jordan Bitove becomes Toronto Star publisher and Paul Rivett takes over as chair of Torstar"
"22",2020-10-02,2020,"SickKids is about to cover the GTA with giant beads. The message behind the movement is empowering"
"23",2020-10-03,2020,"Here are 8 implications of Donald Trump’s COVID-19 diagnosis"
"24",2020-10-03,2020,"Toronto’s chief medical officer is begging people stay home. This interactive map shows where gathering in groups poses the greatest risk"
